,character1,star1,star_id1,character2,star2,star_id2,age_gap,genders,question,score
442,Bunny Lebowski,Tara Reid,1234,Walter,John Goodman,1230,23,"[1, 2]",is in love with,0.00244642305187881
443,The Stranger,Sam Elliott,16431,Maude,Julianne Moore,1231,16,"[2, 1]",is in love with,0.026072999462485313
444,the Malibu Police Chief,Leon Russom,169920,Maude,Julianne Moore,1231,19,"[2, 1]",is in love with,0.0012824415462091565
445,The Dude,Jeff Bridges,1229,Maude,Julianne Moore,1231,11,"[2, 1]",is in couple with,0.6205911040306091
446,Walter Sobchak,John Goodman,1230,Bunny,Tara Reid,1234,23,"[2, 1]",is in couple with,0.002089024754241109
447,Maude Lebowski,Julianne Moore,1231,The Dude,Jeff Bridges,1229,11,"[1, 2]",is in couple with,0.03674733638763428
448,The Big,David Huddleston,1232,Maude,Julianne Moore,1231,30,"[2, 1]",is in couple with,0.09345649927854538
449,Bunny Lebowski,Tara Reid,1234,Walter,John Goodman,1230,23,"[1, 2]",is in couple with,0.005939587019383907
450,The Stranger,Sam Elliott,16431,Maude,Julianne Moore,1231,16,"[2, 1]",is in couple with,0.01833498291671276
451,the Malibu Police Chief,Leon Russom,169920,Maude,Julianne Moore,1231,19,"[2, 1]",is in couple with,0.000307406357023865
452,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",is the father of,0.2292165607213974
453,Bunny Lebowski,Tara Reid,1234,Walter,John Goodman,1230,23,"[1, 2]",is the father of,0.010555580258369446
454,The Dude,Jeff Bridges,1229,Maude,Julianne Moore,1231,11,"[2, 1]",is the mother of,0.4858996272087097
455,Walter Sobchak,John Goodman,1230,Maude,Julianne Moore,1231,8,"[2, 1]",is the mother of,0.02966710366308689
456,Maude Lebowski,Julianne Moore,1231,Bunny,Tara Reid,1234,15,"[1, 1]",is the mother of,0.16394899785518646
457,The Big,David Huddleston,1232,Maude,Julianne Moore,1231,30,"[2, 1]",is the mother of,0.2304718941450119
458,Bunny Lebowski,Tara Reid,1234,Maude,Julianne Moore,1231,15,"[1, 1]",is the mother of,0.09349412471055984
459,The Stranger,Sam Elliott,16431,Maude,Julianne Moore,1231,16,"[2, 1]",is the mother of,0.0562460757791996
460,the Malibu Police Chief,Leon Russom,169920,Maude,Julianne Moore,1231,19,"[2, 1]",is the mother of,0.08049950003623962
461,The Dude,Jeff Bridges,1229,Walter,John Goodman,1230,3,"[2, 2]",kisses,0.0003012291854247451
462,Walter Sobchak,John Goodman,1230,The Dude,Jeff Bridges,1229,3,"[2, 2]",kisses,0.0001698215928627178
463,Maude Lebowski,Julianne Moore,1231,Walter,John Goodman,1230,8,"[1, 2]",kisses,1.4693076082039624e-05
464,Donny Kerabatsos,Steve Buscemi,884,Walter,John Goodman,1230,5,"[2, 2]",kisses,0.0012789894826710224
465,The Big,David Huddleston,1232,Walter,John Goodman,1230,22,"[2, 2]",kisses,0.00037810750654898584
466,Bunny Lebowski,Tara Reid,1234,Maude,Julianne Moore,1231,15,"[1, 1]",kisses,8.939963299781084e-05
467,The Stranger,Sam Elliott,16431,Dude,Jeff Bridges,1229,5,"[2, 2]",kisses,0.0014353550504893064
468,the Malibu Police Chief,Leon Russom,169920,Walter,John Goodman,1230,11,"[2, 2]",kisses,3.002794437634293e-05
469,The Dude,Jeff Bridges,1229,Walter,John Goodman,1230,3,"[2, 2]",sleeps with,0.0005941772251389921
470,Walter Sobchak,John Goodman,1230,Dude,Jeff Bridges,1229,3,"[2, 2]",sleeps with,0.0013726491015404463
471,Maude Lebowski,Julianne Moore,1231,Donny,Steve Buscemi,884,3,"[1, 2]",sleeps with,1.6850235624588095e-05
472,Donny Kerabatsos,Steve Buscemi,884,Dude,Jeff Bridges,1229,8,"[2, 2]",sleeps with,0.0014861010713502765
473,The Big,David Huddleston,1232,Dude,Jeff Bridges,1229,19,"[2, 2]",sleeps with,0.0009153473656624556
474,Bunny Lebowski,Tara Reid,1234,Maude,Julianne Moore,1231,15,"[1, 1]",sleeps with,0.001852026442065835
475,The Stranger,Sam Elliott,16431,Dude,Jeff Bridges,1229,5,"[2, 2]",sleeps with,0.000722740136552602
476,the Malibu Police Chief,Leon Russom,169920,Walter,John Goodman,1230,11,"[2, 2]",sleeps with,3.0206269002519548e-05
477,The Dude,Jeff Bridges,1229,Stranger,Sam Elliott,16431,5,"[2, 2]",goes on a date with,0.022082945331931114
478,Walter Sobchak,John Goodman,1230,The Dude,Jeff Bridges,1229,3,"[2, 2]",goes on a date with,0.013534913770854473
479,Maude Lebowski,Julianne Moore,1231,Donny,Steve Buscemi,884,3,"[1, 2]",goes on a date with,0.00015718111535534263
480,Donny Kerabatsos,Steve Buscemi,884,Walter,John Goodman,1230,5,"[2, 2]",goes on a date with,0.005918591283261776
481,The Big,David Huddleston,1232,Walter,John Goodman,1230,22,"[2, 2]",goes on a date with,0.005922708194702864
482,Bunny Lebowski,Tara Reid,1234,Maude,Julianne Moore,1231,15,"[1, 1]",goes on a date with,0.0012897796696051955
483,the Malibu Police Chief,Leon Russom,169920,Walter,John Goodman,1230,11,"[2, 2]",goes on a date with,0.0002654354611877352
484,The Dude,Jeff Bridges,1229,Stranger,Sam Elliott,16431,5,"[2, 2]",has sex with,0.004519522190093994
485,Walter Sobchak,John Goodman,1230,Dude,Jeff Bridges,1229,3,"[2, 2]",has sex with,0.0017909449525177479
486,Maude Lebowski,Julianne Moore,1231,Donny,Steve Buscemi,884,3,"[1, 2]",has sex with,0.0002750623389147222
487,Donny Kerabatsos,Steve Buscemi,884,Walter,John Goodman,1230,5,"[2, 2]",has sex with,0.00282853189855814
488,The Big,David Huddleston,1232,Dude,Jeff Bridges,1229,19,"[2, 2]",has sex with,0.002589937997981906
489,Bunny Lebowski,Tara Reid,1234,Maude,Julianne Moore,1231,15,"[1, 1]",has sex with,0.003076332388445735
490,The Stranger,Sam Elliott,16431,Dude,Jeff Bridges,1229,5,"[2, 2]",has sex with,0.036401618272066116
491,the Malibu Police Chief,Leon Russom,169920,Walter,John Goodman,1230,11,"[2, 2]",has sex with,8.515125227859244e-05
492,The Dude,Jeff Bridges,1229,Walter,John Goodman,1230,3,"[2, 2]",marries,0.0011397734051570296
493,Walter Sobchak,John Goodman,1230,Dude,Jeff Bridges,1229,3,"[2, 2]",marries,4.036407335661352e-05
494,Maude Lebowski,Julianne Moore,1231,Walter,John Goodman,1230,8,"[1, 2]",marries,9.186840179609135e-05
495,Donny Kerabatsos,Steve Buscemi,884,Walter,John Goodman,1230,5,"[2, 2]",marries,0.0009466069168411195
496,The Big,David Huddleston,1232,Walter,John Goodman,1230,22,"[2, 2]",marries,0.0010058957850560546
497,Bunny Lebowski,Tara Reid,1234,Maude,Julianne Moore,1231,15,"[1, 1]",marries,0.019527273252606392
498,The Stranger,Sam Elliott,16431,Dude,Jeff Bridges,1229,5,"[2, 2]",marries,0.00231488817371428
499,the Malibu Police Chief,Leon Russom,169920,Walter,John Goodman,1230,11,"[2, 2]",marries,7.174225902417675e-05
500,The Dude,Jeff Bridges,1229,Walter,John Goodman,1230,3,"[2, 2]",is in love with,0.0017599324928596616
501,Walter Sobchak,John Goodman,1230,Dude,Jeff Bridges,1229,3,"[2, 2]",is in love with,0.0020835164468735456
502,Maude Lebowski,Julianne Moore,1231,Stranger,Sam Elliott,16431,16,"[1, 2]",is in love with,0.0004447051614988595
503,Donny Kerabatsos,Steve Buscemi,884,Walter,John Goodman,1230,5,"[2, 2]",is in love with,0.0012010973878204823
504,The Big,David Huddleston,1232,Dude,Jeff Bridges,1229,19,"[2, 2]",is in love with,0.0033981858287006617
505,Bunny Lebowski,Tara Reid,1234,Maude,Julianne Moore,1231,15,"[1, 1]",is in love with,0.011829538270831108
506,The Stranger,Sam Elliott,16431,Dude,Jeff Bridges,1229,5,"[2, 2]",is in love with,0.00462081516161561
507,the Malibu Police Chief,Leon Russom,169920,Walter,John Goodman,1230,11,"[2, 2]",is in love with,0.00024494261015206575
508,The Dude,Jeff Bridges,1229,Walter,John Goodman,1230,3,"[2, 2]",is in couple with,0.008395267650485039
509,Walter Sobchak,John Goodman,1230,Dude,Jeff Bridges,1229,3,"[2, 2]",is in couple with,0.004001726862043142
510,Maude Lebowski,Julianne Moore,1231,Donny,Steve Buscemi,884,3,"[1, 2]",is in couple with,0.00029726169304922223
511,Donny Kerabatsos,Steve Buscemi,884,Dude,Jeff Bridges,1229,8,"[2, 2]",is in couple with,0.0022405683994293213
512,The Big,David Huddleston,1232,The Dude,Jeff Bridges,1229,19,"[2, 2]",is in couple with,0.00322951702401042
513,Bunny Lebowski,Tara Reid,1234,Maude,Julianne Moore,1231,15,"[1, 1]",is in couple with,0.00593913160264492
514,The Stranger,Sam Elliott,16431,Dude,Jeff Bridges,1229,5,"[2, 2]",is in couple with,0.004393735434859991
515,the Malibu Police Chief,Leon Russom,169920,Walter,John Goodman,1230,11,"[2, 2]",is in couple with,0.00029190455097705126
516,The Dude,Jeff Bridges,1229,"Walter violently fends them off, but during the scuffle, Donny",John Goodman,1230,3,"[2, 2]",is the father of,0.04149060696363449
517,Walter Sobchak,John Goodman,1230,Donny,Steve Buscemi,884,5,"[2, 2]",is the father of,0.01175767369568348
518,Maude Lebowski,Julianne Moore,1231,Donny,Steve Buscemi,884,3,"[1, 2]",is the father of,0.02824445255100727
519,Donny Kerabatsos,Steve Buscemi,884,Walter,John Goodman,1230,5,"[2, 2]",is the father of,0.07867587357759476
520,The Big,David Huddleston,1232,Walter,John Goodman,1230,22,"[2, 2]",is the father of,0.02749609760940075
521,Bunny Lebowski,Tara Reid,1234,Maude,Julianne Moore,1231,15,"[1, 1]",is the father of,0.00887025985866785
522,The Stranger,Sam Elliott,16431,Walter,John Goodman,1230,8,"[2, 2]",is the father of,0.008065703324973583
523,the Malibu Police Chief,Leon Russom,169920,Walter,John Goodman,1230,11,"[2, 2]",is the father of,0.006277182605117559
524,The Dude,Jeff Bridges,1229,Maude,Julianne Moore,1231,11,"[2, 1]",is the mother of,0.17646676301956177
525,Walter Sobchak,John Goodman,1230,Maude,Julianne Moore,1231,8,"[2, 1]",is the mother of,0.08199296146631241
526,Maude Lebowski,Julianne Moore,1231,Stranger,Sam Elliott,16431,16,"[1, 2]",is the mother of,0.00559441652148962
527,Donny Kerabatsos,Steve Buscemi,884,Maude,Julianne Moore,1231,3,"[2, 1]",is the mother of,0.2266591638326645
528,The Big,David Huddleston,1232,Maude,Julianne Moore,1231,30,"[2, 1]",is the mother of,0.15737628936767578
529,Bunny Lebowski,Tara Reid,1234,Maude,Julianne Moore,1231,15,"[1, 1]",is the mother of,0.6819509863853455
530,The Stranger,Sam Elliott,16431,Maude,Julianne Moore,1231,16,"[2, 1]",is the mother of,0.32321953773498535
531,the Malibu Police Chief,Leon Russom,169920,Maude,Julianne Moore,1231,19,"[2, 1]",is the mother of,0.0006215673638507724
